date,subject,age,sex,trial_num,block_num,block,video_path,audio_path,condition,category,duration,eye_fit,mouth_fit,genuineness,response
36:47.8,17,22,m,1,4,original,./stimuli/original/11_12_4_15_4.mov,./stimuli/audio/11/12_4_15_4_audio.wav,fake,cr,11,0.33297802,-0.445899382,0.285714286,4
36:47.8,17,22,m,2,4,original,./stimuli/original/60_4_6.mov,./stimuli/audio/60/4_6_audio.wav,fake,cr,9,0.25397019,-0.404008353,0.333333333,6
36:47.8,17,22,m,3,4,original,./stimuli/original/4_7.mov,./stimuli/audio/4/7_audio.wav,TRUE,hit,19,0.183687862,0.238483396,0.8,8
36:47.8,17,22,m,4,4,original,./stimuli/original/57_3.mov,./stimuli/audio/57/3_audio.wav,TRUE,hit,13,0.223000433,0.405106389,0.833333333,10
36:47.8,17,22,m,5,4,original,./stimuli/original/14_1_5.mov,./stimuli/audio/14/1_5_audio.wav,fake,fa,8,-0.282282306,0.425744219,0.666666667,8
36:47.8,17,22,m,6,4,original,./stimuli/original/43_3_7.mov,./stimuli/audio/43/3_7_audio.wav,fake,fa,11,-0.09750081,0.030979213,0.75,7
36:47.8,17,22,m,7,4,original,./stimuli/original/8_1.mov,./stimuli/audio/8/1_audio.wav,TRUE,miss,7,-0.100199603,0.434110281,0.428571429,8
36:47.8,17,22,m,8,4,original,./stimuli/original/31_29_3_32_4.mov,./stimuli/audio/31/29_3_32_4_audio.wav,fake,fa,11,-0.018974101,0.099590679,0.571428571,6
36:47.8,17,22,m,9,4,original,./stimuli/original/45_46_1_47_1.mov,./stimuli/audio/45/46_1_47_1_audio.wav,fake,cr,10,0.261116112,-0.261920662,0,1
36:47.8,17,22,m,10,4,original,./stimuli/original/3_1_6.mov,./stimuli/audio/3/1_6_audio.wav,fake,cr,7,0.439420749,-0.464260385,0.25,2
36:47.8,17,22,m,11,4,original,./stimuli/original/10_3_6.mov,./stimuli/audio/10/3_6_audio.wav,fake,cr,6,0.153488505,-0.359733967,0.333333333,4
36:47.8,17,22,m,12,4,original,./stimuli/original/58_1_2.mov,./stimuli/audio/58/1_2_audio.wav,fake,fa,14,0.02021081,0.104356403,0.6,8
36:47.8,17,22,m,13,4,original,./stimuli/original/46_2.mov,./stimuli/audio/46/2_audio.wav,TRUE,miss,8,-0.371875935,0.223143611,0.4,4
36:47.8,17,22,m,14,4,original,./stimuli/original/5_1.mov,./stimuli/audio/5/1_audio.wav,TRUE,hit,19,0.331329207,0.271282352,1,10
36:47.8,17,22,m,15,4,original,./stimuli/original/19_17_2_25_2.mov,./stimuli/audio/19/17_2_25_2_audio.wav,fake,cr,10,0.301823167,-0.306258102,0.25,6
36:47.8,17,22,m,16,4,original,./stimuli/original/1_2_4_3_3.mov,./stimuli/audio/1/2_4_3_3_audio.wav,fake,cr,10,0.29840032,-0.30426748,0.333333333,10
36:47.8,17,22,m,17,4,original,./stimuli/original/31_5_9.mov,./stimuli/audio/31/5_9_audio.wav,fake,cr,8,0.306489189,-0.319471397,0.25,1
36:47.8,17,22,m,18,4,original,./stimuli/original/1_3.mov,./stimuli/audio/1/3_audio.wav,TRUE,hit,26,0.181459665,0.16703163,1,9
